"id","department","code","customer","main_address","del_address","date","credit_limit","contact","line_business","years_business","capital_invested","registration","type_organization","terms","mode_payment","credit_request","officer","officer_address","depository","account","contact_person","bank_contact","tag_","encoded","sales_officer","pricelist","area","terms_details","custom1","manual_code","approval","main_code","shared_to","company","tin","card_no","category","birthdate","gender","fax","email","officer_contact_no","contact_person_contact_no","acctng_officer","acctng_officer_contact_no","invoice","dr","discount","receipt_qty","trucking_name","trucking_address","trucking_contact_no","trucking_remarks","trucking_name2","trucking_address2","trucking_contact_no2","trucking_remarks2","trucking_name3","trucking_address3","trucking_contact_no3","trucking_remarks3","option1","option2","option3","other_address1","commission_rate1","commission_rate2","contact_person_email","print_no_price","contact_tel_no","acctng_contact_person","acctng_contact_number","acctng_email","owner_contact_person","owner_contact_number","owner_email","second_address","group_code","type_code","customer_type","agent_commission","remarks","inactive","order_days"
"541",,"540","New Sams Trading","Catbalogan City",,"0000-00-00",,,,,,,,,,,,,,,,,,,"NARESH",,,,,,,,,,,,,"0000-00-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"5%",,,,,,,,,,,,,,,"5",,,"30"
"542",,"541","New Sin Kian heng",,,"0000-00-00",,,,,,,,,,,,,,,,,,,"ISHWAR",,,,,,,,,,,,,"0000-00-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,"30"
"543",,"542","NEW TUGUEGARAO BOMBAY BAZAAR","20 BONIFACIO ST.TUGUEGARAO CITY",,"0000-00-00",,,,,,,,"60",,,"ALLAN KHO",,,,,,,"MANSUKHANI, SANJEEV ISHWAR - 14 March 2022 03:57:3","SANJ",,,"Net 60",,,,,,,,,,"0000-00-00",,,"lala_adtani@yahoo.com","9176332839",,,,,,,"2 SETS W/ P.O","EIN","227 MAYON QUEZON CITY","4101599/8911955/ 09178095885/09237611458",,"ALANZALON","27 ARTY SECOND STREET MINDANAO AVE. QUEZON CITY ","09358193287/09178694434-MARLON","RIGHT ACROSS PACIFIC GLOBAL MEDICAL  ",,,,,,,,,,,,,,,,,,,,,,,,"5",,,"30"
"544",,"543","New Valencia Dry Goods Store","Isulan, Sultan Kudarat",,"0000-00-00",,,,,,,,,,,,,,,,,,,"NARESH",,,"Net 60",,,,,,,,,,"0000-00-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"5%",,,,,,,,,,,,,,,"5",,,"30"
"545",,"544","New Young Mart Ent. Inc.","Mayor C. Climaco Ave. Cor I Magno St. Zamboanga City",,"0000-00-00",,"991-4901/991-4906",,,,,,,,,,,,,,,,,"ROCKY",,,"Net 60",,,,,,,,,,"0000-00-00",,,,,,,,,"YES",,"3 SETS W/ P.O","CY7",,,,,,,,,,,,,,,,"5%",,,,,,,,,,,,,,,"5",,,"30"
"546",,"545","Nicia Fashion Center","Dipolog City",,"0000-00-00",,,,,,,,,,,,,,,,,,,"NARESH",,,,,,,,,,,,,"0000-00-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"5%",,,,,,,,,,,,,,,"5",,,"30"
"547",,"546","Nicka Triste",,,"0000-00-00",,,,,,,,,,,,,,,,,,,"MISHA",,,"Due on rece",,,,,,,,,,"0000-00-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,"30"
"548",,"547","Nieves Department Store","Vigan City",,"0000-00-00",,"077-674-0049/251-9564/0920-209-3288",,,,,,,,,,,,,"Jeanne Go",,,,"DELFIN",,,"Net 60",,,,,,,,,,"0000-00-00",,,,,,,,,"YES",,,"KING HARRY CARGO ","1325 HERRERA COR ESCALER STA. CRUZ","358-9648/256-9554",,,,,,,,,,,,,,"5%",,,,,,,,,,,,,,,"5",,,"30"
"549",,"548","North Triangle Depot Commercial","4F Trinoma Office ,Edsa corner  Quezon",,"0000-00-00",,,,,,,,,,,,,,,,,,,"MISHA",,,"Net 30",,,,,,,,,,"0000-00-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,"30"
"550",,"549","North Ventures Commercial Corp.","4th level Fairview Terraces Cinemas",,"0000-00-00",,,,,,,,,,,,,,,,,,,"MISHA",,,"Net 30",,,,,,,,,,"0000-00-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,"30"
"551",,"550","NVM Marketing Extension","Valencia City",,"0000-00-00",,"088-2222-235/088-828-2163/0917-631-8320",,,,,,,,,,,,,"Ms.Bibing/Ms.Fely ( Cashier)",,,,"NARESH",,,"Net 60",,,,,,,,,,"0000-00-00",,"088-282-0455","nvm.marketing@yahoo.com",,"9173244814",,,,"YES",,"WAYBILL","JADES CARGO","NEPA ST. TONDO, MANILA",,,,,,,,,,,,,,,"5%",,,,,,,,,,,,,,,"5",,,"30"
"552",,"551","NVM Marketing Grocery","Valencia City",,"0000-00-00",,,,,,,,,,,,,,,,,,,"NARESH",,,"Net 60",,,,,,,,,,"0000-00-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"5%",,,,,,,,,,,,,,,"5",,,"30"
"553",,"552","O.K. Department Store","Zamboanga City",,"0000-00-00",,"062-995-0910/062-991-7448/991-1370",,,,,,,,,,,,,"Ms.Christine",,,,"NARESH",,,"Net 60",,,,,,,,,,"0000-00-00",,"062-241-0250/256-7193","okpurchasing@gmail.com",,"2410250",,,,"YES",,"3 SETS W/ P.O",,,,"give orig. p.o",,,,,,,,,,,,,"5%",,,,,,,,,,,,,,,"5",,,"30"
"554",,"553","Old Accounts",,,"0000-00-00",,,,,,,,,,,,,,,,,,,"OFFICE",,,,,,,,,,,,,"0000-00-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,"30"
"555",,"554","Omega","Tabora St. Divisoria",,"0000-00-00",,,,,,,,,,,,,,,,,,,"ISHWAR",,,,,,,,,,,,,"0000-00-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,"30"
"556",,"555","One O Five","V.L & Sons Bldg. I, J.P Rizal st.",,"0000-00-00",,,,,,,,,,,,,,,,,,,"JESUS",,,"Net 60",,,,,,,,,,"0000-00-00",,"077-772-2705","oneo5ive@gmail.com",,"077-7732859",,,,,,,"WILLIAM TRUCKING ",,,,,,,,,,,,,,,,"5%",,,,,,,,,,,,,,,"5",,,"30"
"557",,"556","Online Customer",,,"0000-00-00",,,,,,,,,,,,,,,,,,,"OFFICE",,,"Due on rece",,,,,,,,,,"0000-00-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,"30"
"558",,"557","Orignamura Trading","RS 04-05 Podium level,Prime Block Bldg. TutubanCenter, C.M Recto Ave",,"0000-00-00",,,,,,,,,,,,,,,,,,,"ISHWAR",,,"Net 60",,,,,,,,,,"0000-00-00",,,"orignamura@yahoo.com",,"2550583/ 251-7371 /2550508",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,"30"
"559",,"558","Ororama Supercenter","Jr Borja St. Cagayan De Oro City",,"0000-00-00",,"088-857-1475/088-857-1441 loc. 120/088-856-2899",,,,,,,,,,,,,"Ms.Jean Paiso ( purchaser)",,,,"NARESH",,,"Net 60",,,,,,,"499-110-5000",,,"0000-00-00",,"088-856-2899","ororamadepstore@yahoo.com / ororamasupercenter@gmail.com",,"088-857-1441 loc. 147/120 / 0917109-8754",,,,"YES",,"3 SETS W/ P.O","PIER 2 (2go)  NORTH HARBOR(OWN CONTAINER)","DELPAN","5279880-81(MS. LIAN) ","CALL BEFORE DELIVER(MAGSUOT NG SAFETY VEST) NEED ORIGINAL P.O PAG DINELEVER/call manila office before deliver Monday, wed and Friday only",,,,,,,,,,,,,"5%",,,,,,,,,,,,,,,"5",,,"30"
"560",,"559","Ozamiz Anas Merchandising","Washington St. Ozamiz City",,"0000-00-00",,,,,,,,,,,,,,,,,,,"NARESH",,,"Net 60",,,,,,,,,,"0000-00-00",,,"ozamiz_anasmerchandising@yahoo.com",,"088-521-0207/09173017067 / 09173017065-",,,,"YES",,"3 SETS W/ P.O","SEABORNE SHIPPING LINES/ CY7","MARCOS HI-WAY VITAS, TONDO MANILA","09773949286- JOEBERT / 09338192149","CALL FIRST BEFORE DELIVER",,,,,,,,,,,,,"5%",,,,,,,,,,,,,,,"5",,,"30"
"561",,"560","Ozamiz Shoppers Plaza","Bugos Cor. Zamora Sts., Ozamiz",,"0000-00-00",,"088-521-0333/088-521-1510",,,,,,,,,,,,,"Ms.Ellen",,,,"NARESH",,,"Net 60",,,,,,,,,,"0000-00-00",,"088-5210300",,,,,,,"YES",,"WAYBILL","JADES CARGO","NEPA ST. TONDO, MANILA",,,,,,,,,,,,,,,"5%",,,,,,,,,,,,,,,"5",,,"30"
"562",,"561","Pagadian Bodega ng Bayan","Pagadian City",,"0000-00-00",,"088-521-0207",,,,,,,,,,,,,,,,,"NARESH",,,"Net 60",,,,,,,,,,"0000-00-00",,,,,,,,,"YES",,"WAYBILL","PAMBATO TRUCKING",,,,,,,,,,,,,,,,"5%",,,,,,,,,,,,,,,"5",,,"30"
"563",,"562","Pagadian Pacific Traders","Pagadian City",,"0000-00-00",,,,,,,,,,,,,,,,,,,"NARESH",,,"Net 60",,,,,,,,,,"0000-00-00",,,,,,,,,"YES",,"WAYBILL","PAMBATO TRUCKING",,,,,,,,,,,,,,,,"5%",,,,,,,,,,,,,,,"5",,,"30"
"564",,"563","Palana Store","Yacapin Guillermo St.,",,"0000-00-00",,"0917-706-4131/0922-856-3857",,,,,,,,,,,,,"Ms.Jessie Purilaser/Ms.Malou",,,,"NARESH",,,"Net 60",,,,,,,,,,"0000-00-00",,"088-856-8087","palanagroupcompanies@gmail.com",,,,,,"YES",,"3 SETS  W/ P.O","SBT TRUCKING","L29 BL14 PH1-C C-3 RD KAUNLARAN VILLAGE NAVOTAS",,,,,,,,,,,,,,,"5%",,,,,,,,,,,,,,,"5",,,"30"
"565",,"564","Palma Group of Comp. Inc.","Palma Bldg., Borromeo St. Surigao City",,"0000-00-00",,"086-826-7798/086-231-7578",,,,,,,,,,,,,,,,,"NARESH",,,"Net 60",,,,,,,,,,"0000-00-00",,,,,,,,,"YES",,"WAYBILL","SPAN ASIA",,"255-2532",,,,,,,,,,,,,,"5%",,,,,,,,,,,,,,,"5",,,"30"
"566",,"565","Patty Virtucio","Pinamalayan, Occidental Mindoro",,"0000-00-00",,,,,,,,,,,,,,,,,,,"JEORGE",,,"Net 60",,,,,,,,,,"0000-00-00",,,,,,,,,"YES",,"2 SETS W/ P.O","ASCENDANT TRUCKING "," 1422-26 STA. CRUZ, GELINOS ST.","731-5429",,,,,,,,,,,,,,"5%",,,,,,,,,,,,,,,"5",,,"30"
"567",,"566","Peoples General Merchandise","#12 Siena Complex Alunan Ave, Koronadal,",,"0000-00-00",,"083-228-2944/083-228-2943",,,,,,,,,,,,,,,,,"NARESH",,,"Net 60",,,,,,,,,,"0000-00-00",,"082-228-2233","peoples_gen.mdse@yahoo.com.ph",,,,,"YES",,,"WAYBILL","SOLID SIPPING LINES VIA GENSAN",,,"20% declare on the waybill ",,,,,,,,,,,,,"5%",,,,,,,,,,,,,,,"5",,,"30"
"568",,"567","Perlas Gen. Mdse.","Angeles City, Pampanga",,"0000-00-00",,,,,,,,,,,,,,,,,,,"SANJ",,,,,,,,,,,,,"0000-00-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"5%",,,,,,,,,,,,,,,"5",,,"30"
"569",,"568","Portia Store","Bacolod City",,"0000-00-00",,"0922-503-0702/0908-778-8843/0926-257-8717",,,,,,,,,,,,,"MS. TING TAMAYO/ MRS. FE TAMAYO",,,,"MIKE/LEO",,,"Net 60",,,,,,,,,,"0000-00-00",,,,,"09087788843/09225030702/09262578717/09292237002",,,,,,"2 SETS W/ P.O","OCEAN TRANSPORT PIER 18 VITAS","PIER 18",,"CALL BEFORE DELIVER- BAGO MAG SHELL  SABIHIN NA OCEAN TRANSPORT, BANDANG DULO SILA",,,,,,,,,,,,,"4%","1%",,,,,,,,,,,,,,"5",,,"30"
"570",,"569","Pricewise Marketing Corporation","Veterans Ave. Zamboanga City",,"0000-00-00",,"062-991-7060/062-991-3588",,,,,,,,,,,,,,,,,"DELFIN",,,"Net 60",,,,,,,,,,"0000-00-00",,"062-991-7080","pricewise@gmail.com",,,,,,"YES","LESS 10%","3 SETS W/ P.O","DJ CARGO ",,,,"MERIDIAN SHIPPING LINES","  1915 CAPULONG ST. COR JUAN KUNA TONDO MANILA "," 254-41-38",,,,,,,,,,"5%",,,,,,,,,,,,,,,"5",,,"30"
"571",,"570","Prima Marketing","Ipil Zamboanga Sibugay",,"0000-00-00",,,,,,,,,,,,,,,,,,,"MIKE/LEO",,,"Net 90",,,,,,,,,,"0000-00-00",,,,,,,,,,,,"JADES CARGO VIA DIPOLOG ",,,,,,,,,,,,,,,,"4%","1%",,,,,,,,,,,,,,"5",,,"30"
"572",,"571","Prince Hypermart Negros",,,"0000-00-00",,,,,,,,,,,,,,,,,,,"SANJ",,,,,,,,,,,,,"0000-00-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,"30"
"573",,"572","Prince Hypermart Panay",,,"0000-00-00",,,,,,,,,,,,,,,,,,,"SANJ",,,,,,,,,,,,,"0000-00-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,"30"
"574",,"573","Prince Retail Mdsg Inc- Guihulngan","3RD AVE. NORTH RECLAMATION AREA, CEBU CITY, CEBU 6000",,"0000-00-00",,,,,,,,"60 DAYS",,,,,,,"JOY BARRIAGA-0925-563-5907/0999-2288955",,,,"SANJ",,,"Net 60",,,,,,,"009-342-263-000",,,"0000-00-00",,,,,,,,"YES",,,"3 SETS W/ PO",,,,"PRINCE RETAIL MANILA OFFICE- 930-05-90 -SCHEDULE FIRST BEFORE DELIVER/2 DAYS PRIOR TO DELIVERY DATE                                                                                                                             DC LILOAN, DC ILOILO,DC BACOLOD AND DC DUMAGUETE-DELIVER TO CY7          DC TACLOBAN, DC OZAMIZ, DC BUENAVISTA -SEABORNE  MANILA HARBOR                                                DC MANILA-CALOOCAN                         ",,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,"30"
"575",,"574","PRINCE RETAIL MDSG INC- NARRA","3RD AVE. NORTH RECLAMATION AREA, CEBU CITY, CEBU 6000",,"0000-00-00",,,,,,,,"60 DAYS",,,,,,,,,,"SALCEDO JR., MANUEL  - 24 March 2022 02:15:26","SANJ",,,"Net 60",,,,,,,"009-342-263-000",,,"0000-00-00",,,,,,,,"YES",,,"3 SETS W/ PO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,"30"
"576",,"575","Prince Retail Mdsg Inc- San Miguel","3RD AVE. NORTH RECLAMATION AREA, CEBU CITY, CEBU 6000",,"0000-00-00",,,,,,,,"60 DAYS",,,,,,,,,,,"SANJ",,,"Net 60",,,,,,,"009-342-263-000",,,"0000-00-00",,,,,,,,"YES",,,"3 SETS W/ PO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,"30"
"577",,"576","Prince Retail Mdsg Inc. - Balingasag","3RD AVE. NORTH RECLAMATION AREA, CEBU CITY, CEBU 6000",,"0000-00-00",,,,,,,,"60 DAYS",,,,,,,,,,,"SANJ",,,"Net 60",,,,,,,"009-342-263-000",,,"0000-00-00",,,,,,,,"YES",,,"3 SETS W/ PO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,"30"
"578",,"577","Prince Retail Mdsg Inc. - DC Ozamis","3RD AVE. NORTH RECLAMATION AREA, CEBU CITY, CEBU 6000",,"0000-00-00",,,,,,,,"60 DAYS",,,,,,,,,,,"SANJ",,,"Net 60",,,,,,,"009-342-263-000",,,"0000-00-00",,,,,,,,"YES",,,"3 SETS W/ PO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,"30"
"579",,"578","Prince Retail Mdsg Inc. - Kapatagan","3RD AVE. NORTH RECLAMATION AREA, CEBU CITY, CEBU 6000",,"0000-00-00",,,,,,,,"60 DAYS",,,,,,,,,,,"SANJ",,,"Net 60",,,,,,,"009-342-263-000",,,"0000-00-00",,,,,,,,"YES",,,"3 SETS W/ PO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,"30"
"580",,"579","Prince Retail Mdsg Inc. - Surigao","3RD AVE. NORTH RECLAMATION AREA, CEBU CITY, CEBU 6000",,"0000-00-00",,,,,,,,"60 DAYS",,,,,,,,,,,"SANJ",,,"Net 60",,,,,,,"009-342-263-000",,,"0000-00-00",,,,,,,,"YES",,,"3 SETS W/ PO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,"30"
"581",,"580","Prince Retail Mdsg Inc. - Brookes Point","3RD AVE. NORTH RECLAMATION AREA, CEBU CITY, CEBU 6000",,"0000-00-00",,,,,,,,"60 DAYS",,,,,,,,,,,"SANJ",,,"Net 60",,,,,,,"009-342-263-000",,,"0000-00-00",,,,,,,,"YES",,,"3 SETS W/ PO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,"30"
"582",,"581","Prince Retail Mdsg Inc. - La Paz","3RD AVE. NORTH RECLAMATION AREA, CEBU CITY, CEBU 6000",,"0000-00-00",,,,,,,,"60 DAYS",,,,,,,,,,,"SANJ",,,"Net 60",,,,,,,"009-342-263-000",,,"0000-00-00",,,,,,,,"YES",,,"3 SETS W/ PO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,"30"
"583",,"582","Prince Retail Mdsg Inc. - Dunganon Bacolod","3RD AVE. NORTH RECLAMATION AREA, CEBU CITY, CEBU 6000",,"0000-00-00",,,,,,,,"60 DAYS",,,,,,,,,,,"SANJ",,,"Net 60",,,,,,,"009-342-263-000",,,"0000-00-00",,,,,,,,"YES",,,"3 SETS W/ PO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,"30"
"584",,"583","Prince Retail Mdsg Inc. - Dunganon Cebu","3RD AVE. NORTH RECLAMATION AREA, CEBU CITY, CEBU 6000",,"0000-00-00",,,,,,,,"60 DAYS",,,,,,,,,,,"SANJ",,,"Net 60",,,,,,,"009-342-263-000",,,"0000-00-00",,,,,,,,"YES",,,"3 SETS W/ PO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,"30"
"585",,"584","Prince Retail Mdsg Inc. - Dunganon Dumaguete","3RD AVE. NORTH RECLAMATION AREA, CEBU CITY, CEBU 6000",,"0000-00-00",,,,,,,,"60 DAYS",,,,,,,,,,,"SANJ",,,"Net 60",,,,,,,"009-342-263-000",,,"0000-00-00",,,,,,,,"YES",,,"3 SETS W/ PO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,"30"
"586",,"585","Prince Retail Mdsg Inc. - Dunganon Iloilo","3RD AVE. NORTH RECLAMATION AREA, CEBU CITY, CEBU 6000",,"0000-00-00",,,,,,,,"60 DAYS",,,,,,,,,,,"SANJ",,,"Net 60",,,,,,,"009-342-263-000",,,"0000-00-00",,,,,,,,"YES",,,"3 SETS W/ PO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,"30"
"587",,"586","Prince Retail Mdsg Inc. - Dunganon Manila","3RD AVE. NORTH RECLAMATION AREA, CEBU CITY, CEBU 6000",,"0000-00-00",,,,,,,,"60 DAYS",,,,,,,,,,,"SANJ",,,"Net 60",,,,,,,"009-342-263-000",,,"0000-00-00",,,,,,,,"YES",,,"3 SETS W/ PO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,"30"
"588",,"587","Prince Retail Mdsg Inc. - Dunganon Tacloban","3RD AVE. NORTH RECLAMATION AREA, CEBU CITY, CEBU 6000",,"0000-00-00",,,,,,,,"60 DAYS",,,,,,,,,,,"SANJ",,,"Net 60",,,,,,,"009-342-263-000",,,"0000-00-00",,,,,,,,"YES",,,"3 SETS W/ PO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,"30"
"589",,"588","Prince Retail Mdsg Inc. - San Remigio","3RD AVE. NORTH RECLAMATION AREA, CEBU CITY, CEBU 6000",,"0000-00-00",,,,,,,,"60 DAYS",,,,,,,,,,,"SANJ",,,"Net 60",,,,,,,"009-342-263-000",,,"0000-00-00",,,,,,,,"YES",,,"3 SETS W/ PO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,"30"
"590",,"589","Prince Retail Mdsg. Inc. - Catbalogan","3RD AVE. NORTH RECLAMATION AREA, CEBU CITY, CEBU 6000",,"0000-00-00",,,,,,,,"60 DAYS",,,,,,,,,,,"SANJ",,,"Net 60",,,,,,,"009-342-263-000",,,"0000-00-00",,,,,,,,"YES",,,"3 SETS W/ PO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,"30"
"591",,"590","Prince Retail Mdsg. Inc. - DC Bacolod","3RD AVE. NORTH RECLAMATION AREA, CEBU CITY, CEBU 6000",,"0000-00-00",,,,,,,,"60 DAYS",,,,,,,,,,,"SANJ",,,"Net 60",,,,,,,"009-342-263-000",,,"0000-00-00",,,,,,,,"YES",,,"3 SETS W/ PO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,"30"
"592",,"591","Prince Retail Mdsg. Inc. - DC Cebu","3RD AVE. NORTH RECLAMATION AREA, CEBU CITY, CEBU 6000",,"0000-00-00",,,,,,,,"60 DAYS",,,,,,,,,,,"SANJ",,,"Net 60",,,,,,,"009-342-263-000",,,"0000-00-00",,,,,,,,"YES",,,"3 SETS W/ PO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,"30"
"593",,"592","Prince Retail Mdsg. Inc. - DC Iloilo","3RD AVE. NORTH RECLAMATION AREA, CEBU CITY, CEBU 6000",,"0000-00-00",,,,,,,,"60 DAYS",,,,,,,,,,,"SANJ",,,"Net 60",,,,,,,"009-342-263-000",,,"0000-00-00",,,,,,,,"YES",,,"3 SETS W/ PO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,"30"
"594",,"593","Prince Retail Mdsg. Inc. - DC Tacloban","3RD AVE. NORTH RECLAMATION AREA, CEBU CITY, CEBU 6000",,"0000-00-00",,,,,,,,"60 DAYS",,,,,,,,,,,"SANJ",,,"Net 60",,,,,,,"009-342-263-000",,,"0000-00-00",,,,,,,,"YES",,,"3 SETS W/ PO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,"30"
"595",,"594","Prince Retail Mdsg. Inc. - Hinigaran","3RD AVE. NORTH RECLAMATION AREA, CEBU CITY, CEBU 6000",,"0000-00-00",,,,,,,,"60 DAYS",,,,,,,,,,,"SANJ",,,"Net 60",,,,,,,"009-342-263-000",,,"0000-00-00",,,,,,,,"YES",,,"3 SETS W/ PO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,"30"
"596",,"595","Prince Retail Mdsg. Inc. - Isabel","3RD AVE. NORTH RECLAMATION AREA, CEBU CITY, CEBU 6000",,"0000-00-00",,,,,,,,"60 DAYS",,,,,,,,,,,"SANJ",,,"Net 60",,,,,,,"009-342-263-000",,,"0000-00-00",,,,,,,,"YES",,,"3 SETS W/ PO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,"30"
"597",,"596","Prince Retail Mdsg. Inc. - SIlay","3RD AVE. NORTH RECLAMATION AREA, CEBU CITY, CEBU 6000",,"0000-00-00",,,,,,,,"60 DAYS",,,,,,,,,,,"SANJ",,,"Net 60",,,,,,,"009-342-263-000",,,"0000-00-00",,,,,,,,"YES",,,"3 SETS W/ PO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,"30"
"598",,"597","Prince Retail Mdsg. Inc. - Bago","3RD AVE. NORTH RECLAMATION AREA, CEBU CITY, CEBU 6000",,"0000-00-00",,,,,,,,"60 DAYS",,,,,,,,,,,"SANJ",,,"Net 60",,,,,,,"009-342-263-000",,,"0000-00-00",,,,,,,,"YES",,,"3 SETS W/ PO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,"30"
"599",,"598","Prince Retail Mdsg. Inc. - Bayawan","3RD AVE. NORTH RECLAMATION AREA, CEBU CITY, CEBU 6000",,"0000-00-00",,,,,,,,"60 DAYS",,,,,,,,,,,"SANJ",,,"Net 60",,,,,,,"009-342-263-000",,,"0000-00-00",,,,,,,,"YES",,,"3 SETS W/ PO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,"30"
"600",,"599","Prince Retail Mdsg. Inc. - Dapitan","3RD AVE. NORTH RECLAMATION AREA, CEBU CITY, CEBU 6000",,"0000-00-00",,,,,,,,"60 DAYS",,,,,,,,,,,"SANJ",,,"Net 60",,,,,,,"009-342-263-000",,,"0000-00-00",,,,,,,,"YES",,,"3 SETS W/ PO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,"30"
"601",,"600","Prince Retail Mdsg. Inc. - DC Buenavista","3RD AVE. NORTH RECLAMATION AREA, CEBU CITY, CEBU 6000",,"0000-00-00",,,,,,,,"60 DAYS",,,,,,,,,,,"SANJ",,,"Net 60",,,,,,,"009-342-263-000",,,"0000-00-00",,,,,,,,"YES",,,"3 SETS W/ PO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,"30"
"602",,"601","Prince Retail Mdsg. Inc. - DC Liloan","3RD AVE. NORTH RECLAMATION AREA, CEBU CITY, CEBU 6000",,"0000-00-00",,,,,,,,"60 DAYS",,,,,,,,,,,"SANJ",,,"Net 60",,,,,,,"009-342-263-000",,,"0000-00-00",,,,,,,,"YES",,,"3 SETS W/ PO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,"30"
"603",,"602","Prince Retail Mdsg. Inc. - Dulag","3RD AVE. NORTH RECLAMATION AREA, CEBU CITY, CEBU 6000",,"0000-00-00",,,,,,,,"60 DAYS",,,,,,,,,,,"SANJ",,,"Net 60",,,,,,,"009-342-263-000",,,"0000-00-00",,,,,,,,"YES",,,"3 SETS W/ PO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,"30"
"604",,"603","PRINCE RETAIL MDSG. INC. - DUMAGUETE","3RD AVE. NORTH RECLAMATION AREA, CEBU CITY, CEBU 6000",,"0000-00-00",,,,,,,,"60 DAYS",,,,,,,,,,"MANSUKHANI, SANJEEV ISHWAR - 24 March 2022 02:14:3","SANJ",,,"Net 60",,,,,,,"009-342-263-000",,,"0000-00-00",,,,,,,,"YES",,,"3 SETS W/ PO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,"30"
"605",,"604","Prince Retail Mdsg. Inc. - MC City Hall","3RD AVE. NORTH RECLAMATION AREA, CEBU CITY, CEBU 6000",,"0000-00-00",,,,,,,,"60 DAYS",,,,,,,,,,,"SANJ",,,"Net 60",,,,,,,"009-342-263-000",,,"0000-00-00",,,,,,,,"YES",,,"3 SETS W/ PO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,"30"
"606",,"605","Prince Retail Mdsg. Inc. - San Remegio","3RD AVE. NORTH RECLAMATION AREA, CEBU CITY, CEBU 6000",,"0000-00-00",,,,,,,,"60 DAYS",,,,,,,,,,,"SANJ",,,"Net 60",,,,,,,"009-342-263-000",,,"0000-00-00",,,,,,,,"YES",,,"3 SETS W/ PO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,"30"
